,ABBA,Billie Eilish,Ed Sheeran,JAY-Z,Macklemore,Rage Against the Machine,Taylor Swift,The Beatles,The Wolfe Tones
odd,0.003240182735794255,0.0,0.0,0.0,0.0,0.0,0.003023271159115395,0.0,0.0
melancholy,0.003240182735794255,0.0,0.0,0.0,0.0,0.0,0.003023271159115395,0.0,0.0
sense,0.008991056084238948,0.0046978640512486325,0.004014027813883668,0.011787823305127596,0.007298922528370926,0.0048579620684925835,0.0,0.0,0.0020911963707251732
guilt,0.0028172453552938364,0.0,0.0,0.005682431714404561,0.003811724191805196,0.0,0.0,0.0,0.0
deny,0.009972615639373452,0.0,0.0,0.002011493506529612,0.0,0.0013470772522667712,0.001861001289241815,0.0022215726130558194,0.0023194936652939503
happened,0.004875155518207739,0.00849096318187526,0.001209165200997059,0.0016388785755597707,0.009894105349741647,0.001097540728417676,0.009097583856354216,0.0,0.003779647771028883
wonderful,0.004442297194696416,0.0,0.008263538199323668,0.0,0.007513017836906953,0.0060005496202599025,0.0,0.007421988982380165,0.0
adventures,0.003240182735794255,0.0,0.0,0.0,0.0,0.0,0.003023271159115395,0.0,0.0
places,0.003596422433695579,0.0,0.001338009271294556,0.002720266916567907,0.0024329741761236422,0.0012144905171231459,0.0016778313302632595,0.004005826491564065,0.0
planned,0.002489189636478716,0.0,0.003704302120256171,0.0,0.005051798738896369,0.0,0.0023225527234624743,0.0,0.0
us,0.06762715290950277,0.0172836526079907,0.045944230612989786,0.04003193610889905,0.10641769584834068,0.037731171947146244,0.0603564303243576,0.022925179477764453,0.056419771955453064
well,0.026462798964588044,0.023044870143987598,0.06454070490872374,0.021498632354779116,0.01591292648199487,0.026808990594024962,0.07818901201109962,0.07041305125313368,0.051290701777684605
know,0.204351614226541,0.3226281820158264,0.2603506401402754,0.16828239808740894,0.19095511778393842,0.07049771600651009,0.27434741056526185,0.2177892050387623,0.042742251481403835
sometimes,0.025174957035869056,0.007046796076872949,0.009366064899061893,0.004533778194279845,0.007298922528370926,0.0,0.015100481972369333,0.004005826491564065,0.0
wish,0.006500207357610318,0.05094577909125156,0.021764973617947065,0.004916635726679312,0.03078166108808512,0.004390162913670704,0.031841543497239756,0.0,0.007559295542057766
could,0.1043810403603195,0.16323449685324548,0.08751282021521864,0.04744525761054702,0.06564082173822883,0.037731171947146244,0.08367596022240485,0.03438776921664668,0.037613181303635376
freeze,0.0028172453552938364,0.0,0.0,0.011364863428809121,0.0,0.003805468163424551,0.0,0.0,0.0
picture,0.002940310996065338,0.0057612175359968995,0.004375641010760932,0.006671989351483174,0.005967347430748076,0.00297877673266944,0.010973896422610473,0.004912538459520954,0.022225970770329995
save,0.008125259197012898,0.029718371136563407,0.013300817210967649,0.014749907180037936,0.008794760310881463,0.0,0.012130111808472288,0.007240168059739981,0.017008414969629973
tricks,0.004978379272957432,0.0,0.0,0.0,0.0,0.0016811691421456097,0.0046451054469249485,0.0027725502140434006,0.0
dance,0.06012691805789544,0.00849096318187526,0.035065790828914714,0.007374953590018968,0.05056987178756842,0.017560651654682815,0.003032527952118072,0.025340588209089934,0.0
jive,0.02916164462214829,0.0,0.0,0.0016338758979356838,0.0,0.0,0.0,0.0,0.0
life,0.07056746390556812,0.0345673052159814,0.0667285254141042,0.08525319726895167,0.09945579051246793,0.03177361848180736,0.06172816737718391,0.0540379230547305,0.042742251481403835
ooh,0.022750725751636114,0.05306851988672037,0.0822232336678,0.027860935784516098,0.009894105349741647,0.0,0.08642704663536505,0.1864343275383045,0.003779647771028883
scene,0.019500622072830955,0.0,0.006045826004985296,0.0016388785755597707,0.005496725194300916,0.0032926221852530276,0.010613847832413252,0.0036200840298699906,0.0018898238855144414
digging,0.03944143497411371,0.0,0.0,0.0,0.0,0.0,0.0026286470008994246,0.003137950639985115,0.0
dancing,0.08440364669923191,0.0,0.014874368758782603,0.0,0.010518224971669734,0.0,0.03937665428110538,0.0,0.0025830435502221917
queen,0.05185760132474195,0.0,0.008904483784455158,0.007040227272853644,0.0,0.0,0.013027009024692705,0.0022215726130558194,0.009277974661175801
friday,0.007467568909436148,0.0,0.003704302120256171,0.0025103688798199368,0.0,0.0,0.0,0.0027725502140434006,0.0
night,0.08379886338786213,0.0268856818346522,0.08094935869907724,0.00518932505115358,0.06365170592797947,0.009929255775564801,0.07956074906392593,0.029475230757125725,0.03590349124437922
lights,0.016250518394025797,0.002122740795468815,0.02055580841695,0.01065271074113851,0.019788210699483295,0.009877866555759084,0.03487407144935783,0.0036200840298699906,0.0
low,0.009750311036415478,0.0,0.013300817210967649,0.005736075014459197,0.005496725194300916,0.0076827850989237305,0.010613847832413252,0.007240168059739981,0.003779647771028883
looking,0.016250518394025797,0.00849096318187526,0.007254991205982354,0.007374953590018968,0.023086245816063843,0.001097540728417676,0.012130111808472288,0.014480336119479962,0.0
place,0.013231399482294022,0.0096020292266615,0.02515993581187536,0.008895985801977566,0.017902042292244225,0.010922181353121282,0.0150891075810894,0.009825076919041909,0.027355040948098455
mmm,0.0019945231278746907,0.03908049738833718,0.0445224189222758,0.006034480519588837,0.0013492917901788473,0.0,0.009305006446209074,0.0,0.0
play,0.03528373195278406,0.057612175359969,0.013126923032282795,0.02075730020461432,0.02585850553324166,0.018865585973573122,0.03978037453196297,0.011462589738882227,0.013677520474049227
right,0.027932954462620712,0.0480101461333075,0.0634467946560335,0.03113595030692148,0.08254830612534837,0.04666750214515456,0.035665163373484035,0.039300307676167635,0.011967830414793074
music,0.038224042948849395,0.0019204058453322998,0.01093910252690233,0.01556797515346074,0.04674422154085992,0.01191510693067776,0.0054869482113052365,0.004912538459520954,0.015387210533305381
getting,0.013231399482294022,0.0096020292266615,0.007657371768831631,0.009637317952142363,0.014918368576870188,0.00297877673266944,0.03154995221500511,0.03438776921664668,0.01025814035553692
swing,0.007467568909436148,0.0,0.003704302120256171,0.0,0.0,0.006724676568582439,0.0023225527234624743,0.0,0.0
come,0.0426345094429474,0.0441693344426429,0.15424134562932285,0.05634124341252458,0.06365170592797947,0.1340449529701248,0.06584337853566284,0.072050564072974,0.05812946201470922
look,0.057336064423274095,0.0537713636693044,0.03719294859146792,0.034842611057745464,0.05171701106648332,0.01687973481846016,0.09739333075066794,0.036025282036487,0.01025814035553692
king,0.004875155518207739,0.0,0.002418330401994118,0.01556934646781782,0.009894105349741647,0.0032926221852530276,0.003032527952118072,0.005430126044804986,0.01133894331308665
anybody,0.0053946336505433685,0.011744660128121582,0.001338009271294556,0.001813511277711938,0.006082435440309105,0.0,0.0016778313302632595,0.02403495894938439,0.0
guy,0.008125259197012898,0.07641866863687734,0.010882486808973533,0.006555514302239083,0.006596070233161098,0.001097540728417676,0.010613847832413252,0.0018100420149349953,0.0
young,0.01764186597639203,0.0038408116906645997,0.0065634615161413975,0.04077326825906384,0.006961905335872755,0.006950479042895361,0.021947792845220946,0.008187564099201591,0.03932287136289153
high,0.03087326545868605,0.0288060876799845,0.016408653790353493,0.03632527535807506,0.023869389722992303,0.02283728828379904,0.02743474105652618,0.021287666657924136,0.03248411112586692
bit,0.007350777490163346,0.0019204058453322998,0.008751282021521863,0.00518932505115358,0.01292925276662083,0.00198585115511296,0.0027434741056526183,0.006550051279361272,0.0017096900592561534
rock,0.03056959068641242,0.0,0.00669004635647278,0.009974312027415659,0.019463793408989138,0.023075319825339773,0.003355662660526519,0.0,0.025094356448702077
everything,0.038224042948849395,0.0288060876799845,0.024066025559185127,0.011861314402636755,0.020885716007618266,0.020851437128686083,0.035665163373484035,0.016375128198403182,0.0017096900592561534
fine,0.009750311036415478,0.01273644477281289,0.010882486808973533,0.013111028604478166,0.005496725194300916,0.0,0.019711431688767468,0.007240168059739981,0.003779647771028883
mood,0.01332689158408925,0.0029013983591580266,0.0,0.0011200236081905126,0.0,0.0015001374050649756,0.0,0.002473996327460055,0.0
